,Book_Name,book_id,guten_genre,Author_Name,FileNo
986,The Game of Logic,pg4763CarolLogik.epub,Literary,Carroll| Lewis,4763
817,Half a Rogue,pg4790.epub,Literary,MacGrath| Harold,4790
818,Dawn,pg4794.epub,Literary,Adams| Mrs. H. A.,4794
819,The Circassian Slave- the Sultan's favorite : a story of Constantinople and the Caucasus,pg4795.epub,Literary,Ballou| Maturin Murray,4795
825,Hilda Wade- a Woman with Tenacity of Purpose,pg4903.epub,Literary,Allen| Grant,4903
826,The Lilac Sunbonnet: A Love Story,pg4918.epub,Love and Romance,Crockett| S. R.,4918
827,King Midas: a Romance,pg4923.epub,Literary,Sinclair| Upton,4923
828,The Fashionable Adventures of Joshua Craig: A Novel,pg4929.epub,Sea and Adventure,Phillips| David Graham,4929
830,Leah Mordecai: A Novel,pg4955.epub,Literary,Abbott| Belle K.,4955
838,"""The Romance of Elaine - Sequel to """"Exploits of Elaine""""""",pg5094.epub,Detective and Mystery,Reeve| Arthur B.,5094
842,The Exploits of Elaine,pg5151.epub,Detective and Mystery,Reeve| Arthur B.,5151
846,Innocent : her fancy and his fact,pg5165.epub,Love and Romance,Corelli| Marie,5165
848,Corpus of a Siam Mosquito,pg5176.epub,Literary,Sills| Steven,5176
849,A Siren,pg5179.epub,Detective and Mystery,Trollope| Thomas Adolphus,5179
855,The Confessions of Harry Lorrequer  Volume 1,pg5234.epub,Literary,Lever| Charles James,5234
856,The Confessions of Harry Lorrequer  Volume 2,pg5235.epub,Literary,Lever| Charles James,5235
857,The Confessions of Harry Lorrequer  Volume 3,pg5236.epub,Literary,Lever| Charles James,5236
858,The Confessions of Harry Lorrequer  Volume 4,pg5237.epub,Literary,Lever| Charles James,5237
859,The Confessions of Harry Lorrequer  Volume 5,pg5238.epub,Literary,Lever| Charles James,5238
860,The Confessions of Harry Lorrequer  Volume 6,pg5239.epub,Literary,Lever| Charles James,5239
861,The Confessions of Harry Lorrequer  Complete,pg5240.epub,Literary,Lever| Charles James,5240
867,At Last: A Novel,pg5622.epub,Literary,Harland| Marion,5622
868,The Potato Child & Others,pg5662.epub,Christmas Stories,Woodbury| Lucia Prudence Hall,5662
869,The Prose of Alfred Lichtenstein,pg5663.epub,Literary,Lichtenstein| Alfred,5663
870,The Queen of Sheba- and My Cousin the Colonel,pg5705.epub,Literary,Aldrich| Thomas Bailey,5705
871,The Flyers,pg5848.epub,Literary,McCutcheon| George Barr,5848
872,Michael's Crag,pg5869.epub,Literary,Allen| Grant,5869
874,Celibates,pg6005.epub,Literary,Moore| George Augustus,6005
875,Opening a Chestnut Burr,pg6028.epub,Literary,Roe| Edward Payson,6028
876,Fran,pg6057.epub,Literary,Ellis| J. Breckenridge,6057
877,Philistia,pg6060.epub,Literary,Allen| Grant,6060
878,From Jest to Earnest,pg6102.epub,Literary,Roe| Edward Payson,6102
879,Their Yesterdays,pg6105.epub,Love and Romance,Wright| Harold Bell,6105
880,A Day of Fate,pg6113.epub,Love and Romance,Roe| Edward Payson,6113
881,No Defense- Volume 1.,pg6292.epub,Literary,Parker| Gilbert,6292
882,No Defense- Volume 2.,pg6293.epub,Literary,Parker| Gilbert,6293
883,No Defense- Volume 3.,pg6294.epub,Literary,Parker| Gilbert,6294
884,No Defense- Complete,pg6295.epub,Literary,Parker| Gilbert,6295
885,Carnac's Folly- Volume 1.,pg6296.epub,Literary,Parker| Gilbert,6296
886,Carnac's Folly- Volume 2.,pg6297.epub,Literary,Parker| Gilbert,6297
887,Carnac's Folly- Volume 3.,pg6298.epub,Literary,Parker| Gilbert,6298
888,Carnac's Folly- Complete,pg6299.epub,Literary,Parker| Gilbert,6299
889,A Knight of the Nineteenth Century,pg6311.epub,Literary,Roe| Edward Payson,6311
890,Self-Raised- From the Depths,pg6376.epub,Literary,Southworth| Emma Dorothy Eliza Nevitte,6376
891,Once Aboard the Lugger-- The History of George and his Mary,pg6410.epub,Humorous and Wit and Satire,Hutchinson| A. S. M.,6410
892,The Iron Woman,pg6474.epub,Literary,Deland| Margaret Wade Campbell,6474
893,The Grey Lady,pg6517.epub,Literary,Merriman| Henry Seton,6517
894,Any Coincidence Is - The Day Julia & Cecil the Cat Faced a Fate Worse Than Death,pg6526.epub,Literary,Callahan| Daniel,6526
895,Si'Wren of the Patriarchs,pg6592.epub,Literary,Cheney| Roland Jon,6592
896,The Doctor's Daughter,pg6809.epub,Literary,Vera|,6809
898,Average Jones,pg6864.epub,Detective and Mystery,Adams| Samuel Hopkins,6864
899,The Happy Adventurers,pg6901.epub,Literary,Middleton| Lydia Miller,6901
900,Aikenside,pg6954.epub,Literary,Holmes| Mary Jane,6954
901,A Terrible Secret: A Novel,pg7063.epub,Literary,Fleming| May Agnes,7063
902,Fanshawe,pg7085.epub,Literary,Hawthorne| Nathaniel,7085
903,The Dolliver Romance,pg7119.epub,Literary,Hawthorne| Nathaniel,7119
904,Linda Condon,pg7171.epub,Literary,Hergesheimer| Joseph,7171
905,Doctor Grimshawe's Secret  a Romance,pg7183.epub,Literary,Hawthorne| Nathaniel,7183
907,The Wishing-Ring Man,pg7424.epub,Literary,Widdemer| Margaret,7424
908,Falkland- Book 1.,pg7757.epub,Literary,Lytton| Baron Edward Bulwer Lytton,7757
909,Falkland- Book 2.,pg7758.epub,Literary,Lytton| Baron Edward Bulwer Lytton,7758
910,Falkland- Book 3.,pg7759.epub,Literary,Lytton| Baron Edward Bulwer Lytton,7759
911,Falkland- Book 4.,pg7760.epub,Literary,Lytton| Baron Edward Bulwer Lytton,7760
912,Falkland- Complete,pg7761.epub,Literary,Lytton| Baron Edward Bulwer Lytton,7761
913,Fan : The Story of a Young Girl's Life,pg7827.epub,Literary,Hudson| W. H.,7827
914,The Rise of Iskander,pg7842.epub,Literary,Disraeli| Earl of Beaconsfield Benjamin,7842
915,The Vision of Desire,pg7855.epub,Literary,Pedler| Margaret,7855
916,An Ambitious Man,pg7866.epub,Literary,Wilcox| Ella Wheeler,7866
917,A Fool for Love,pg8073.epub,Literary,Lynde| Francis,8073
918,A Fountain Sealed,pg8087.epub,Literary,Sedgwick| Anne Douglas,8087
919,The Misses Mallett (The Bridge Dividing),pg8131.epub,Literary,Young| E. H.,8131
920,The Ghost of Guir House,pg8182.epub,Ghost and Horror,Beale| Charles Willing,8182
921,Monsieur Maurice,pg8383.epub,Literary,Edwards| Amelia Ann Blanford,8383
922,Ptomaine Street: The Tale of Warble Petticoat,pg8386.epub,Literary,Wells| Carolyn,8386
923,The Gentleman: A Romance of the Sea,pg8396.epub,Sea and Adventure,Ollivant| Alfred,8396
924,Young People's Pride: A Novel,pg8403.epub,Literary,Ben Stephen Vincent,8403
925,Rest Harrow: A Comedy of Resolution,pg8464.epub,Literary,Hewlett| Maurice,8464
926,The Puritans,pg8522.epub,Literary,Bates| Arlo,8522
927,The Woman with the Fan,pg8549.epub,Literary,Hichens| Robert,8549
928,The Far Horizon,pg8569.epub,Literary,Malet| Lucas,8569
929,The Philistines,pg8570.epub,Literary,Bates| Arlo,8570
930,The Wheel O' Fortune,pg8596.epub,Literary,Tracy| Louis,8596
994,The Mysterious Affair at Styles,pg863Agatha1.epub,Detective and Mystery,Christie| Agatha,8631
931,The Pagans,pg8671.epub,Literary,Bates| Arlo,8671
932,The Living Link: A Novel,pg8711.epub,Literary,Mille| James De,8711
933,The Brass Bowl,pg8741.epub,Literary,Vance| Louis Joseph,8741
934,From One Generation to Another,pg8805.epub,Literary,Merriman| Henry Seton,8805
935,Miss Theodosia's Heartstrings,pg8865.epub,Literary,Donnell| Annie Hamilton,8865
936,A Love Story,pg8883.epub,Literary,Christie| William Harvey,8883
937,Three Weeks,pg8899.epub,Love and Romance,Glyn| Elinor,8899
938,The Golden Calf,pg9052.epub,Literary,Braddon| M. E.,9052
939,Eleanor,pg9087.epub,Literary,Ward| Mrs. Humphry,9087
940,The Bride of Dreams,pg9111.epub,Literary,Eeden| Frederik van,9111
941,Henry Dunbar: A Novel,pg9189.epub,Literary,Braddon| M. E.,9189
942,Charlotte's Inheritance,pg9259.epub,Literary,Braddon| M. E.,9259
943,One Day's Courtship- and The Heralds of Fame,pg9305.epub,Literary,Barr| Robert,9305
944,Hetty's Strange History,pg9311.epub,Literary,Jackson| Helen Hunt,9311
945,Birds of Prey,pg9362.epub,Literary,Braddon| M. E.,9362
946,A Woman Intervenes,pg9379.epub,Literary,Barr| Robert,9379
947,Theresa Marchmont- the Maid of Honour: A Tale,pg9387.epub,Literary,Gore| Mrs.,9387
948,Helen of the Old House,pg9410.epub,Literary,Wright| Harold Bell,9410
949,The Ashiel mystery: A Detective Story,pg9746.epub,Detective and Mystery,Bryce| Mrs. Charles,9746
950,The Fortune Hunter,pg9747.epub,Literary,Smith| Winchell| Vance| Louis Joseph,9747
951,Scarhaven Keep,pg9807.epub,Detective and Mystery,Fletcher| J. S.,9807
952,The Price of Things,pg9809.epub,Literary,Glyn| Elinor,9809
953,The Brown Mask,pg9849.epub,Sea and Adventure,Brebner| Percy James,9849
954,The Two Guardians - Home in This World,pg9926.epub,Literary,Yonge| Charlotte M.,9926
955,The Bronze Bell,pg9927.epub,Sea and Adventure,Vance| Louis Joseph,9927
956,Mr. Waddington of Wyck,pg9967.epub,Literary,Sinclair| May,9967
957,Captivating Mary Carstairs,pg9993.epub,Literary,Harrison| Henry Sydnor,9993
0,The Mystery of the Boule Cabinet: A Detective Story,pg10067.epub,Detective and Mystery,Stevenson| Burton Egbert,10067
2,At Love's Cost,pg10379.epub,Literary,Garvice| Charles,10379
3,The Heart of the Range,pg10473.epub,Western Stories,White| William Patterson,10473
4,The Worshipper of the Image,pg10812.epub,Literary,Gallienne| Richard Le,10812
5,The Book-Bills of Narcissus - An Account Rendered by Richard Le Gallienne,pg10826.epub,Literary,Gallienne| Richard Le,10826
6,Elusive Isabel,pg10943.epub,Detective and Mystery,Futrelle| Jacques,10943
7,Joe Burke's Last Stand,pg11004.epub,Literary,Wetterau| John Moncure,11004
8,O+F,pg11005.epub,Literary,Wetterau| John Moncure,11005
9,Polly and the Princess,pg11259.epub,Literary,Dowd| Emma C.,11259
10,Maggie Miller: The Story of Old Hagar's Secret,pg11280.epub,Literary,Holmes| Mary Jane,11280
11,The Obstacle Race,pg11520.epub,Literary,Dell| Ethel M.,11520
960,The Secret Adversary,pg1155Agatha2.epub,Detective and Mystery,Christie| Agatha,11552
12,From out the Vasty Deep,pg11581.epub,Literary,Lowndes| Marie Belloc,11581
13,Fate Knocks at the Door: A Novel,pg11655.epub,Literary,Comfort| Will Levington,11655
14,The Torrent (Entre Naranjos),pg11674.epub,Literary,Ibez| Vicente Blasco,11674
17,The Mystery of Monastery Farm,pg11931.epub,Literary,Naylor| H. R.,11931
18,Wife in Name Only,pg11970.epub,Literary,Brame| Charlotte M.,11970
19,Darrel of the Blessed Isles,pg12102.epub,Literary,Bacheller| Irving,12102
21,The Story of Bessie Costrell,pg12181.epub,Literary,Ward| Mrs. Humphry,12181
22,Fated to Be Free: A Novel,pg12303.epub,Literary,Ingelow| Jean,12303
23,Nancy: A Novel,pg12304.epub,Literary,Broughton| Rhoda,12304
24,The Top of the World,pg12360.epub,Literary,Dell| Ethel M.,12360
25,The Reason Why,pg12450.epub,Literary,Glyn| Elinor,12450
26,Miriam Monfort - A Novel,pg12453.epub,Literary,Warfield| Catherine A.,12453
27,A Perilous Secret,pg12470.epub,Literary,Reade| Charles,12470
28,Deadham Hard: A Romance,pg12520.epub,Literary,Malet| Lucas,12520
30,A Spinner in the Sun,pg12672.epub,Literary,Reed| Myrtle,12672
32,Tokyo to Tijuana: Gabriele Departing America,pg12733.epub,Literary,Sills| Steven David Justin,12733
33,The Coquette's Victim - Everyday Life Library No. 1,pg12886.epub,Literary,Brame| Charlotte M,12886
34,The Song of the Blood-Red Flower,pg12935.epub,Literary,Linnankoski| Johannes,12935
35,People Like That - A Novel,pg12972.epub,Literary,Bosher| Kate Langley,12972
36,The Lady of Big Shanty,pg12989.epub,Literary,Smith| F. Berkeley,12989
37,The Philanderers,pg13057.epub,Literary,Mason| A. E. W.,13057
38,Coralie - Everyday Life Library No. 2,pg13162.epub,Literary,Brame| Charlotte M.,13162
39,Broken to the Plow - A Novel,pg13178.epub,Literary,Dobie| Charles Caldwell,13178
40,The Wild Olive: A Novel,pg13212.epub,Literary,King| Basil,13212
41,The American Baron: A Novel,pg13257.epub,Literary,Mille| James De,13257
42,Out of the Ashes,pg13273.epub,Literary,Grant| Ethel Watts Mumford,13273
43,The Light That Lures,pg13312.epub,Literary,Brebner| Percy James,13312
44,Miss Bretherton,pg13432.epub,Literary,Ward| Mrs. Humphry,13432
45,Aylwin,pg13454.epub,Literary,Watts-Dunton| Theodore,13454
46,The Collected Works of Ambrose Bierce- Volume 1,pg13541.epub,Literary,Bierce| Ambrose,13541
47,The Son of Clemenceau- A Novel of Modern Love and Life,pg13572.epub,Literary,Dumas| Alexandre,13572
48,One Day  A sequel to 'Three Weeks',pg13776.epub,Literary,Elinor Glyn,13776
49,The Port of Missing Men,pg13913.epub,Literary,Nicholson| Meredith,13913
51,Charles Rex,pg13960.epub,Love and Romance,Dell| Ethel M.,13960
52,V. V.'s Eyes,pg13985.epub,Literary,Harrison| Henry Sydnor,13985
53,The End of the World: A Love Story,pg14051.epub,Love and Romance,Eggleston| Edward,14051
54,Sandy,pg14079.epub,Sea and Adventure,Rice| Alice Caldwell Hegan,14079
55,If Winter Comes,pg14145.epub,Literary,Hutchinson| A. S. M.,14145
57,Flames,pg14253.epub,Literary,Hichens| Robert,14253
58,Queed - A Novel,pg14303.epub,Literary,Harrison| Henry Sydnor,14303
59,The Missing Bride,pg14382.epub,Literary,Southworth| Emma Dorothy Eliza Nevitte,14382
60,Septimus,pg14395.epub,Literary,Locke| William John,14395
61,The Exemplary Novels of Cervantes,pg14420.epub,Literary,Saavedra| Miguel de Cervantes,14420
62,True Love's Reward - A Sequel to Mona,pg14427.epub,Literary,Sheldon| Mrs. Georgie,14427
63,The Doctor's Dilemma,pg14454.epub,Literary,Stretton| Hesba,14454
64,A Daughter of To-Day,pg14490.epub,Literary,Duncan| Sara Jeannette,14490
65,Sister Carmen,pg14523.epub,Literary,Corvus| M.,14523
66,The Just and the Unjust,pg14581.epub,Literary,Kester| Vaughan,14581
67,The Devil's Garden,pg14605.epub,Literary,Maxwell| W. B.,14605
68,Jaffery,pg14669.epub,Literary,Locke| William John,14669
69,Christian's Mistake,pg14687.epub,Literary,Craik| Dinah Maria Mulock,14687
70,The Laurel Bush: An Old-Fashioned Love Story,pg14708.epub,Love and Romance,Craik| Dinah Maria Mulock,14708
71,Vandover and the Brute,pg14712.epub,Literary,Norris| Frank,14712
72,The Younger Set,pg14852.epub,Literary,Chambers| Robert W.,14852
73,The Man Thou Gavest,pg14858.epub,Literary,Comstock| Harriet T.,14858
74,Red Pottage,pg14885.epub,Literary,Cholmondeley| Mary,14885
75,The Keeper of the Door,pg15013.epub,Literary,Dell| Ethel M.,15013
76,The Cathedral,pg15067.epub,Literary,Huysmans| J.-K.,15067
77,The Cab of the Sleeping Horse,pg15094.epub,Literary,Scott| John Reed,15094
78,The Jervaise Comedy,pg15116.epub,Literary,Beresford| J. D.,15116
79,"""Sea and Shore - A Sequel to """"Miriam's Memoirs""""""",pg15117.epub,Literary,Warfield| Catherine A.,15117
80,David LockwinThe People's Idol,pg15123.epub,Literary,McGovern| John,15123
81,The Inner Sisterhood - A Social Study in High Colors,pg15179.epub,Literary,Sherley| Douglass,15179
82,My Mother's Rival - Everyday Life Library No. 4,pg15181.epub,Literary,Brame| Charlotte M.,15181
83,Marion Arleigh's Penance - Everyday Life Library No. 5,pg15182.epub,Literary,Brame| Charlotte M.,15182
84,The Tragedy of the Chain Pier - Everyday Life Library No. 3,pg15183.epub,Literary,Brame| Charlotte M.,15183
85,Lewie - The Bended Twig,pg15244.epub,Literary,Bradford| Sarah H.,15244
86,Bessie's Fortune: A Novel,pg15275.epub,Literary,Holmes| Mary Jane,15275
87,Gladys- the Reaper,pg15315.epub,Literary,Beale| Anne,15315
88,The Baronet's Bride- A Woman's Vengeance,pg15317.epub,Literary,Fleming| May Agnes,15317
89,Tracy Park: A Novel,pg15321.epub,Literary,Holmes| Mary Jane,15321
90,The Lever: A Novel,pg15430.epub,Literary,Orcutt| William Dana,15430
91,Trumps,pg15498.epub,Literary,Curtis| George William,15498
92,Captivity,pg15527.epub,Literary,Eyles| Leonora,15527
93,A Splendid Hazard,pg15671.epub,Literary,MacGrath| Harold,15671
94,Far to Seek - A Romance of England and India,pg15704.epub,Literary,Diver| Maud,15704
95,Bunker Bean,pg15743.epub,Literary,Wilson| Harry Leon,15743
96,Ishmael- In the Depths,pg15774.epub,Literary,Southworth| Emma Dorothy Eliza Nevitte,15774
97,An Unpardonable Liar,pg15793.epub,Literary,Parker| Gilbert,15793
98,The Seeker,pg15797.epub,Literary,Wilson| Harry Leon,15797
99,Walter Harland - Memories of the Past,pg15799.epub,Literary,Caswell| Harriet S.,15799
100,Garman and Worse: A Norwegian Novel,pg15864.epub,Literary,Kielland| Alexander Lange,15864
101,The Unseen Bridegroom- Wedded For a Week,pg15875.epub,Literary,Fleming| May Agnes,15875
102,Allegories of Life,pg15895.epub,Allegories,Adams| Mrs. J. S.,15895
103,His Excellency the Minister,pg15934.epub,Literary,Claretie| Jules,15934
104,An Englishwoman's Love-Letters,pg15941.epub,Literary,Housman| Laurence,15941
105,The Fatal Glove,pg15989.epub,Literary,Augusta| Clara,15989
106,The Lost Lady of Lone,pg16039.epub,Literary,Southworth| Emma Dorothy Eliza Nevitte,16039
107,Uncle Max,pg16080.epub,Literary,Carey| Rosa Nouchette,16080
108,For Woman's Love,pg16094.epub,Literary,Southworth| Emma Dorothy Eliza Nevitte,16094
109,The Hoyden,pg16137.epub,Literary,Duchess|,16137
110,The Cromptons,pg16138.epub,Literary,Holmes| Mary Jane,16138
111,A Man and a Woman,pg16143.epub,Literary,Waterloo| Stanley,16143
112,Prince Fortunatus,pg16217.epub,Literary,Black| William,16217
113,Jan: A Dog and a Romance,pg16252.epub,Literary,Dawson| A. J.,16252
114,Idolatry: A Romance,pg16283.epub,Literary,Hawthorne| Julian,16283
116,Ellen Walton - The Villain and His Victims,pg16345.epub,Literary,Addison| Alvin,16345
117,The Summons,pg16381.epub,Literary,Mason| A. E. W.,16381
118,What Necessity Knows,pg16398.epub,Literary,Dougall| L.,16398
119,Led Astray and The Sphinx - Two Novellas In One Volume,pg16403.epub,Literary,Feuillet| Octave,16403
120,The Measure of a Man,pg16453.epub,Literary,Barr| Amelia E.,16453
121,The Moon out of Reach,pg16497.epub,Love and Romance,Pedler| Margaret,16497
122,Foes,pg16554.epub,Literary,Johnston| Mary,16554
123,The Twins - A Domestic Novel,pg16574.epub,Literary,Tupper| Martin Farquhar,16574
124,The Lee Shore,pg16612.epub,Literary,Macaulay| Rose,16612
125,Bad Hugh,pg16662.epub,Literary,Holmes| Mary Jane,16662
126,Eveline Mandeville - The Horse Thief Rival,pg16676.epub,Literary,Addison| Alvin,16676
127,Adrien Leroy,pg16682.epub,Literary,Garvice| Charles,16682
128,A Comedy of Masks: A Novel,pg16703.epub,Literary,Dowson| Ernest Christopher| Moore| Arthur,16703
129,The Husbands of Edith,pg16719.epub,Literary,McCutcheon| George Barr,16719
130,Marzio's Crucifix and Zoroaster,pg16720.epub,Literary,Crawford| F. Marion,16720
131,Mike Fletcher: A Novel,pg16730.epub,Literary,Moore| George Augustus,16730
132,Jacqueline of Golden River,pg16771.epub,Literary,Egbert| H. M.,16771
133,My Little Lady,pg16788.epub,Literary,Poynter| E. Frances,16788
134,Elster's Folly: A Novel,pg16798.epub,Literary,Wood| Mrs. Henry,16798
135,Dangerous Ages,pg16799.epub,Literary,Macaulay| Rose,16799
136,Lydia of the Pines,pg16803.epub,Literary,Morrow| Honor,16803
137,Mark Hurdlestone - The Two Brothers,pg16836.epub,Literary,Moodie| Susanna,16836
138,The Halo,pg16909.epub,Literary,Hutten| Bettina Von,16909
139,The Bradys and the Girl Smuggler Working for the Custom House,pg16919.epub,Detective and Mystery,Doughty| Francis Worcester,16919
140,The Bad Man: A Novel,pg16968.epub,Literary,Browne| Porter Emerson| Towne| Charles Hanson,16968
142,Miss Dexie - A Romance of the Provinces,pg16993.epub,Literary,Eveleth| Stanford,16993
143,The Half-Hearted,pg17047.epub,Sea and Adventure,Buchan| John,17047
144,The Man and the Moment,pg17048.epub,Literary,Glyn| Elinor,17048
145,The Crock of Gold - A Rural Novel,pg17062.epub,Literary,Tupper| Martin Farquhar,17062
146,Guy Livingstone'Thorough',pg17084.epub,Literary,Lawrence| George A.,17084
147,Destiny,pg17141.epub,Literary,Buck| Charles Neville,17141
148,The Actress in High Life - An Episode in Winter Quarters,pg17191.epub,Literary,Bowen| Sue Petigru,17191
149,Atlantis,pg17241.epub,Literary,Hauptmann| Gerhart,17241
150,Sunrise,pg17308.epub,Literary,Black| William,17308
151,Arms and the Woman,pg17359.epub,Love and Romance,MacGrath| Harold,17359
152,Hearts and Masks,pg17390.epub,Literary,MacGrath| Harold,17390
153,The Adventures of Kathlyn,pg17402.epub,Literary,MacGrath| Harold,17402
154,The Thin Red Line  and Blue Blood,pg17434.epub,Literary,Griffiths| Arthur,17434
155,The Second Honeymoon,pg17446.epub,Literary,Ayres| Ruby M.,17446
158,On the Church Steps,pg17559.epub,Literary,Hallowell| Sarah C.,17559
159,By the Light of the Soul: A Novel,pg17564.epub,Literary,Freeman| Mary Eleanor Wilkins,17564
160,Romance,pg17642.epub,Literary,Conrad| Joseph| Ford| Ford Madox,17642
161,Bella Donna: A Novel,pg17698.epub,Literary,Hichens| Robert,17698
162,The Courage of Marge O'Doone,pg17745.epub,Literary,Curwood| James Oliver,17745
163,Foes in Ambush,pg17806.epub,Literary,King| Charles,17806
164,Contrary Mary,pg17938.epub,Literary,Bailey| Temple,17938
165,Betty at Fort Blizzard,pg18022.epub,Literary,Seawell| Molly Elliot,18022
